Forecast #,Forecast Issue Date,1week,2week
1,8/30/2021,175,120
2,9/6/2021,150,90
3,9/13/2021,75,85
4,9/20/2021,90,85
5,9/27/2021,95,90
6,10/4/2021,160,115
7,10/11/2021,157,179
8,10/18/2021,157,146
9,10/25/2021,139,134
10,11/1/2021,131.5,120.5
11,11/8/2021,133,130
12,11/15/2021,170,118
13,11/22/2021,154,146
14,11/29/2021,,
