Forecast #,Forecast Issue Date,1week,2week
1,8/30/21,236,188
2,9/6/21,162,137
3,9/13/21,96,84
4,9/20/21,88,85
5,9/27/21,93,90
6,10/4/21,180,174
7,10/11/21,168,157
8,10/18/21,,
9,10/25/21,,
10,11/1/21,,
11,11/8/21,,
12,11/15/21,,
13,11/22/21,,
14,11/29/21,,
