Forecast #,Forecast Issue Date,1week,2week
1,8/30/2021,800,140
2,9/6/2021,200,150
3,9/13/2021,94,75
4,9/20/2021,85,73
5,9/27/2021,102,97
6,10/4/2021,120,98
7,10/11/2021,120,101
8,10/18/2021,131,114
9,10/25/2021,129.5,117.5
10,11/1/2021,128,110
11,11/8/2021,144.5,132
12,11/15/2021,,
13,11/22/2021,,
14,11/29/2021,,
