Forecast #,Forecast Issue Date,1week,2week
1,8/30/21,600,400
2,9/6/21,300,350
3,9/13/21,94,85
4,9/20/21,92,92
5,9/27/21,105,108
6,10/4/21,150,150
7,10/11/21,159,98
8,10/18/21,166,96
9,10/25/21,162,167
10,11/1/21,155,149
11,11/8/21,,
12,11/15/21,,
13,11/22/21,,
14,11/29/21,,
