Forecast #,Forecast Issue Date,1week,2week
1,8/30/2021,225,218
2,9/6/2021,173,121
3,9/13/2021,159,194
4,9/20/2021,95,88
5,9/27/2021,110,80
6,10/4/2021,95,90
7,10/11/2021,130,124
8,10/18/2021,126.04,131.98
9,10/25/2021,235,250
10,11/1/2021,141,154
11,11/8/2021,154,175
12,11/15/2021,139,89
13,11/22/2021,,
14,11/29/2021,,
