Forecast #,Forecast Issue Date,1week,2week
1,8/30/2021,150,100
2,9/6/2021,120,100
3,9/13/2021,130,120
4,9/20/2021,100,100
5,9/27/2021,100,80
6,10/4/2021,80,80
7,10/11/2021,170,180
8,10/18/2021,134,173
9,10/25/2021,258,253
10,11/1/2021,180,160
11,11/8/2021,140,140
12,11/15/2021,,
13,11/22/2021,,
14,11/29/2021,,
