Forecast #,Forecast Issue Date,1week,2week
1,8/30/21,400,250
2,9/6/21,130,100
3,9/13/21,100,120
4,9/20/21,140,150
5,9/27/21,120,70
6,10/4/21,120,90
7,10/11/21,115,144
8,10/18/21,130,128
9,10/25/21,129,159
10,11/1/21,,
11,11/8/21,,
12,11/15/21,,
13,11/22/21,,
14,11/29/21,,
